sido,sidoCode,sigungu,sigunguCode
서울특별시,11,중구,11140
서울특별시,11,영등포구,11560
서울특별시,11,중랑구,11260
서울특별시,11,은평구,11380
서울특별시,11,금천구,11545
서울특별시,11,동작구,11590
서울특별시,11,강남구,11680
서울특별시,11,종로구,11110
서울특별시,11,용산구,11170
서울특별시,11,광진구,11215
서울특별시,11,양천구,11470
서울특별시,11,관악구,11620
서울특별시,11,서대문구,11410
서울특별시,11,마포구,11440
서울특별시,11,성동구,11200
서울특별시,11,강북구,11305
서울특별시,11,서초구,11650
서울특별시,11,송파구,11710
서울특별시,11,강동구,11740
서울특별시,11,성북구,11290
서울특별시,11,도봉구,11320
서울특별시,11,노원구,11350
서울특별시,11,강서구,11500
서울특별시,11,구로구,11530
서울특별시,11,동대문구,11230
부산광역시,26,부산진구,26230
부산광역시,26,사상구,26530
부산광역시,26,서구,26140
부산광역시,26,연제구,26470
부산광역시,26,사하구,26380
부산광역시,26,강서구,26440
부산광역시,26,중구,26110
부산광역시,26,동래구,26260
부산광역시,26,수영구,26500
부산광역시,26,동구,26170
부산광역시,26,금정구,26410
부산광역시,26,남구,26290
부산광역시,26,영도구,26200
부산광역시,26,해운대구,26350
부산광역시,26,기장군,26710
부산광역시,26,북구,26320
대구광역시,27,달성군,27710
대구광역시,27,남구,27200
대구광역시,27,서구,27170
대구광역시,27,달서구,27290
대구광역시,27,수성구,27260
대구광역시,27,중구,27110
대구광역시,27,북구,27230
대구광역시,27,동구,27140
인천광역시,28,미추홀구,28177
인천광역시,28,강화군,28710
인천광역시,28,동구,28140
인천광역시,28,옹진군,28720
인천광역시,28,부평구,28237
인천광역시,28,남동구,28200
인천광역시,28,계양구,28245
인천광역시,28,서구,28260
인천광역시,28,연수구,28185
인천광역시,28,중구,28110
광주광역시,29,북구,29170
광주광역시,29,서구,29140
광주광역시,29,남구,29155
광주광역시,29,광산구,29200
광주광역시,29,동구,29110
대전광역시,30,대덕구,30230
대전광역시,30,동구,30110
대전광역시,30,서구,30170
대전광역시,30,중구,30140
대전광역시,30,유성구,30200
울산광역시,31,중구,31110
울산광역시,31,동구,31170
울산광역시,31,남구,31140
울산광역시,31,울주군,31710
울산광역시,31,북구,31200
세종특별자치시,36,세종특별자치시,36110
경기도,41,수원시 장안구,41111
경기도,41,파주시,41480
경기도,41,의정부시,41150
경기도,41,남양주시,41360
경기도,41,오산시,41370
경기도,41,시흥시,41390
경기도,41,용인시 처인구,41461
경기도,41,부천시,41190
경기도,41,부천시 소사구,41197
경기도,41,안성시,41550
경기도,41,화성시,41590
경기도,41,김포시,41570
경기도,41,여주시,41670
경기도,41,수원시 팔달구,41115
경기도,41,수원시 영통구,41117
경기도,41,안양시 동안구,41173
경기도,41,광명시,41210
경기도,41,평택시,41220
경기도,41,안산시 상록구,41271
경기도,41,안산시 단원구,41273
경기도,41,양주시,41630
경기도,41,연천군,41800
경기도,41,수원시,41110
경기도,41,동두천시,41250
경기도,41,용인시 기흥구,41463
경기도,41,포천시,41650
경기도,41,양평군,41830
경기도,41,안양시,41170
경기도,41,의왕시,41430
경기도,41,성남시,41130
경기도,41,성남시 수정구,41131
경기도,41,하남시,41450
경기도,41,광주시,41610
경기도,41,가평군,41820
경기도,41,수원시 권선구,41113
경기도,41,성남시 분당구,41135
경기도,41,고양시 일산서구,41287
경기도,41,과천시,41290
경기도,41,구리시,41310
경기도,41,군포시,41410
경기도,41,용인시 수지구,41465
경기도,41,이천시,41500
